,Characteristics,Category,Year,Reading,Math,Writing,Percentage Distribution
1257,Communications and Journalism,Intended college major,2009-01-01,522.0,502.0,518.0,4.0
1258,Computer and Information sciences,Intended college major,2009-01-01,506.0,533.0,481.0,3.0
1259,Construction Trades,Intended college major,2009-01-01,423.0,458.0,404.0,0.0
1260,Education,Intended college major,2009-01-01,478.0,483.0,475.0,7.0
1261,Engineering,Intended college major,2009-01-01,526.0,582.0,511.0,8.0
1262,Engineering Technologies,Intended college major,2009-01-01,464.0,511.0,448.0,1.0
1263,Foreign languages and literatures,Intended college major,2009-01-01,574.0,545.0,563.0,1.0
1264,General/Interdisciplinary,Intended college major,2009-01-01,,,,
1265,Health And Allied Services,Intended college major,2009-01-01,488.0,501.0,485.0,19.0
1266,History,Intended college major,2009-01-01,548.0,517.0,518.0,1.0
1267,Home Economics,Intended college major,2009-01-01,467.0,468.0,462.0,0.0
1268,Language And Literature,Intended college major,2009-01-01,589.0,530.0,572.0,2.0
1269,Legal Professions And Studies,Intended college major,2009-01-01,510.0,506.0,500.0,3.0
1270,"Liberal Arts And Sciences, General Studies, And Humanities",Intended college major,2009-01-01,553.0,532.0,541.0,1.0
1271,Library And Archival Sciences,Intended college major,2009-01-01,576.0,510.0,534.0,0.0
1272,Mathematics,Intended college major,2009-01-01,528.0,613.0,527.0,1.0
1273,Mechanic And Repair Technologies Technician,Intended college major,2009-01-01,418.0,447.0,401.0,0.0
1274,Military Sciences,Intended college major,2009-01-01,518.0,520.0,483.0,0.0
1275,Multi/Interdisciplinary Studies,Intended college major,2009-01-01,604.0,594.0,590.0,0.0
1276,Natural Resources And Conservation,Intended college major,2009-01-01,521.0,521.0,504.0,1.0
1277,"Parks, Recreation, And Leisure Studies",Intended college major,2009-01-01,452.0,476.0,442.0,1.0
1278,Personal And Culinary Services,Intended college major,2009-01-01,460.0,458.0,445.0,0.0
1279,Philosophy And Religious Studies,Intended college major,2009-01-01,567.0,543.0,543.0,0.0
1280,Physical Sciences,Intended college major,2009-01-01,561.0,592.0,544.0,1.0
1281,Precision Production,Intended college major,2009-01-01,441.0,468.0,411.0,0.0
1282,Psychology,Intended college major,2009-01-01,501.0,488.0,494.0,5.0
1283,Public Affairs And Services,Intended college major,2009-01-01,466.0,451.0,458.0,0.0
1284,Security And Protective Services,Intended college major,2009-01-01,449.0,458.0,438.0,2.0
1285,Social Sciences,Intended college major,2009-01-01,,,,
1286,Social Sciences,Intended college major,2009-01-01,568.0,550.0,552.0,2.0
1287,Technical And Vocational,Intended college major,2009-01-01,,,,
1288,Theology And Religious Vocations,Intended college major,2009-01-01,542.0,527.0,521.0,0.0
1289,Transportation And Materials Moving,Intended college major,2009-01-01,460.0,486.0,445.0,0.0
1290,Other,Intended college major,2009-01-01,467.0,474.0,456.0,1.0
1291,Undecided,Intended college major,2009-01-01,532.0,549.0,523.0,4.0
1292,Certificate program,Degree-level goal,2009-01-01,441.0,461.0,432.0,1.0
1293,Associate's Degree,Degree-level goal,2009-01-01,415.0,418.0,404.0,1.0
1294,Bachelor's degree,Degree-level goal,2009-01-01,476.0,486.0,465.0,26.0
1295,Master's degree,Degree-level goal,2009-01-01,507.0,522.0,500.0,31.0
1296,Doctoral or related degree,Degree-level goal,2009-01-01,534.0,548.0,528.0,20.0
1297,Other,Degree-level goal,2009-01-01,433.0,452.0,429.0,0.0
1298,Undecided,Degree-level goal,2009-01-01,516.0,529.0,508.0,20.0
1299,"Less than $20,000",Family income,2009-01-01,434.0,457.0,430.0,10.0
1300,"$20,000, to $40,000",Family income,2009-01-01,462.0,475.0,453.0,15.0
1301,"$40,000, to $60,000",Family income,2009-01-01,488.0,497.0,476.0,15.0
1302,"$60,000, to $80,000",Family income,2009-01-01,503.0,512.0,491.0,15.0
1303,"$80,000 to $100,000",Family income,2009-01-01,517.0,528.0,505.0,13.0
1304,"$100,000, to $150,000",Family income,2009-01-01,525.0,538.0,516.0,11.0
1305,"$100,000, to $150,000",Family income,2009-01-01,529.0,542.0,520.0,5.0
1306,"$100,000, to $150,000",Family income,2009-01-01,536.0,550.0,527.0,4.0
1307,"$150,000, to $200,000",Family income,2009-01-01,542.0,554.0,535.0,5.0
1308,"More than $200,000",Family income,2009-01-01,563.0,579.0,560.0,7.0
1309,No high school diploma,Highest level of parental education,2009-01-01,420.0,443.0,418.0,5.0
1310,High school diploma,Highest level of parental education,2009-01-01,464.0,474.0,454.0,31.0
1311,Associate's Degree,Highest level of parental education,2009-01-01,482.0,491.0,469.0,9.0
1312,Bachelor's degree,Highest level of parental education,2009-01-01,521.0,535.0,512.0,30.0
1313,Graduate degree,Highest level of parental education,2009-01-01,559.0,572.0,552.0,25.0
